published,last_update,category,views,recommendations,comments,authors,characters,rating,genre,size_kb,warnings,translators,original_language,betas,series,challenge,title,events,target
2017-07-13,2017-07-13,S,4555,1,7,['243976'],"['Гарри Поттер', 'Северус Снейп']",PG-13,['Юмор'],7,"['AU', 'ООС']",,,['262194'],,,"[7.393011223078967e+18, 1.7040126393150282e+18]",[9.141967877688732e+18],351
2011-09-24,2011-09-24,S,9301,0,16,['35566'],"[['Гарри Поттер', 'Северус Снейп']]",PG-13,"['Драма', 'Романтика']",13,['AU'],,,,,,"[2.0340432059674268e+18, 3.8447506773083945e+18]",[5.091602363353723e+18],342
2019-03-20,2019-03-20,H,644,1,14,['225063'],"[['Рита Скитер', 'Аластор Муди']]",General,['Юмор'],4,['AU'],,,"['59634', '47664']",,/challenge81,"[3.441104473284312e+18, 4.0027041015413524e+18, 4.887231724292003e+18]",[],64
2019-02-14,2019-02-14,S,4029,5,44,['265885'],"[['Кингсли Шеклболт', 'Северус Снейп']]",NC-17,['PWP'],15,"['AU', 'БДСМ']",,,['219670'],,/challenge78,"[5.478433428167904e+18, 3.545809955206635e+17, 9.195740852541522e+18, 2.559603217631601e+18, 7.041467580324921e+18, 3.450483585327847e+18]",[5.091602363353723e+18],345
2010-11-09,2010-11-09,S,8834,0,22,['43643'],"[['Гарри Поттер', 'Драко Малфой']]",General,"['Драббл', 'Флафф', 'Ангст', 'Романтика']",8,,,,,,,"[4.2029902384454313e+18, 8.101329023179083e+18, 7.507058276850474e+18]","[8.94765061936755e+18, 8.495340661862281e+18, 2.593952817060485e+18]",118
2010-11-04,2011-04-09,S,65483,1,47,['36366'],"[['Гарри Поттер', 'Драко Малфой'], ['Новый Мужской Персонаж', 'Новый Мужской Персонаж'], ['Гермиона Грейнджер', 'Рон Уизли'], 'Альбус Дамблдор']",NC-17,"['Кроссовер', 'Флафф', 'Романтика', 'Исторический']",97,"['всё принадлежит всем', 'а я так', 'погулять вышла']",,,[],,,"[8.316505317580786e+18, 4.2029902384454313e+18, 7.870483934065349e+18]","[5.091602363353723e+18, 4.265965420776659e+18, 9.093989600810537e+18, 5.786008324045869e+18, 7.873377399912332e+18, 9.049884987810632e+17, 6.045112493022642e+18]",1303
2016-04-08,2016-04-08,G,2069,0,53,['122798'],"['Аберфорт Дамблдор', 'Джинни Уизли']",General,"['Ангст', 'Hurt/comfort']",9,,,,['172078'],,/challenge24,"[8.95243444572761e+18, 1.4775830464182482e+18, 8.680334075388361e+18, 7.355430328694641e+18]","[5.091602363353723e+18, 2.2622014820230628e+18]",122
2017-08-24,2017-08-24,G,3066,0,118,['235701'],"['Драко Малфой', 'Новый Мужской Персонаж']",General,"['Общий', 'Драма']",9,,,,['175579'],,,[3.747420629391313e+18],"[9.093989600810537e+18, 5.091602363353723e+18]",203
2014-06-03,2014-06-03,S,8439,1,56,['94049'],"[['Северус Снейп', 'Рон Уизли']]",NC-17,"['Юмор', 'PWP']",10,['Даб-кон.'],,,,,,"[2.780683975737768e+17, 2.780683975737768e+17, 8.240412460105142e+18]",[],366
2016-05-28,2016-06-03,H,12314,3,30,['theimpossiblegrrl'],"[['Северус Снейп', 'Чарити Бербидж'], ['Помона Спраут', 'Мадам Хуч'], ['Невилл Лонгботтом', 'Луна Лавгуд'], ['Эрни Макмиллан', 'Ромильда Вейн'], ['Чо Чанг', 'Оливер Вуд'], ['Гарри Поттер', 'Панси Паркинсон'], 'Минерва МакГонагалл']",R,['Юмор'],12,"['AU', 'БДСМ', 'Фемслэш', 'ООС']",['253624'],Английский,['40451'],,,"[3.6523046682357816e+18, 7.212167494437691e+18, 4.414957327612308e+17, 9.061213647034647e+18]","[3.281018045554982e+18, 5.091602363353723e+18, 2.3486383906604605e+18]",401
2014-01-30,2014-01-30,H,45758,12,45,['127549'],"[['Драко Малфой', 'Гермиона Грейнджер']]",NC-17,"['Флафф', 'PWP', 'Романтика']",34,['AU'],,,,/serie384,,"[7.363014157492978e+17, 6.675621595636652e+18]","[2.6589479962767648e+17, 5.091602363353723e+18]",1350
2012-07-28,2012-07-28,S,3988,0,5,['54909'],"[['Ремус Люпин', 'Билл Уизли']]",PG-13,['Пропущенная сцена'],7,['AU'],,,,,,"[2.998843731544657e+18, 7.613504817989322e+18]","[5.091602363353723e+18, 2.2622014820230628e+18, 7.285076916399111e+18]",30
2013-03-20,2013-03-20,H,7460,3,18,['54862'],"[['Люциус Малфой', 'Панси Паркинсон'], ['Драко Малфой', 'Панси Паркинсон'], ['Панси Паркинсон', 'Новый Мужской Персонаж']]",R,['Романтика'],11,"['ООС', 'АУ', 'ненормативная лексика (одно слово).']",,,"['86624', '53173']",,/challenge20,"[3.590653172811262e+18, 5.109396092068719e+18]","[7.285076916399111e+18, 8.607079560928971e+18]",72
2017-10-10,2017-10-10,H,2299,0,2,['248179'],"[['Гермиона Грейнджер', 'Фред Уизли']]",General,['Романтика'],5,,,,,,,"[8.123929025971842e+18, 7.783930899233202e+17, 3.742970273377724e+18, 1.194942576229452e+18]",[],125
2015-05-27,2015-05-27,G,2637,0,35,['229410'],"['Джордж Уизли', 'Скабиор (Струпьяр)']",General,[],12,['AU'],,,['45201'],,/challenge13,"[9.695030452053463e+17, 4.54610755934628e+18, 2.533479111958855e+18]","[2.593952817060485e+18, 9.093989600810537e+18, 5.960497010224147e+18]",147
2018-06-23,2018-06-23,H,6134,1,22,['HP Slash Luv'],"[['Гарри Поттер', 'Дафна Гринграсс'], 'Сириус Блэк']",General,"['Драббл', 'Пропущенная сцена', 'Романтика']",4,['AU'],['132386'],Английский,,,/challenge67,"[8.289586869155783e+18, 6.153455896413174e+18]","[7.574395207039825e+18, 8.94765061936755e+18]",452
2015-12-08,2015-12-08,S,13101,2,46,['44498'],"[['Гарри Поттер', 'Драко Малфой']]",NC-17,"['Ангст', 'Драма']",62,"['AU', 'Сомнительное согласие', 'ООС']",,,,,,"[2.673077227078842e+18, 3.894804424693921e+18, 4.595265819431761e+18]","[9.093989600810537e+18, 5.265453167772786e+18, 5.786008324045869e+18]",707
2010-07-09,2010-07-09,G,4871,0,12,['40893'],['Ремус Люпин'],не указан,"['Драббл', 'Пропущенная сцена']",7,['Присутствует незначительный AU.'],,,[],,,"[8.26057613267576e+18, 7.212167494437691e+18, 8.774668739602814e+18, 3.5128236051336305e+18, 2.0878906830702628e+18]",[],31
2009-10-21,2009-10-21,H,12082,0,9,['37621'],"[['Гермиона Грейнджер', 'Северус Снейп']]",R,"['Драма', 'Ангст']",12,"['ненормативная лексика', 'избиения', 'убийство второстепенного персонажа']",,,,,,"[8.108146792520506e+17, 5.2827440715257594e+17, 7.676320136578779e+18]",[],304
2014-11-14,2014-11-14,S,5842,1,6,['85777'],"[['Сириус Блэк', 'Гарри Поттер'], ['Рон Уизли', 'Гарри Поттер']]",PG-13,"['Ангст', 'Драма']",24,"['AU', 'От первого лица (POV)']",,,['62619'],,,"[6.82289953366278e+18, 1.69699326604563e+18, 6.962556989444447e+18]","[7.285076916399111e+18, 8.607079560928971e+18]",249
2013-09-13,2013-09-13,S,12708,3,40,['50902'],"['Северус Снейп', 'Гарри Поттер']",PG-13,['Романтика'],26,,,,,,,[7.65136995815284e+18],[5.091602363353723e+18],674
2016-05-08,2016-05-08,G,9006,4,42,['172078'],"[['Петуния Эванс (Петуния Дурсль)', 'Вернон Дурсль'], 'Альбус Дамблдор', 'Крюкохват', 'Барти Крауч-старший', 'Барти Крауч-младший', 'Рубеус Хагрид']",R,"['Комедия', 'Юмор', 'Пародия']",12,"['AU', 'ООС']",,,['183327'],/serie445,,"[5.554158179226727e+18, 7.890041787183218e+18, 2.0195488660589164e+18, 5.40089922393052e+18, 8.697173439091668e+17, 8.374372016325586e+18]","[7.40523466161727e+17, 1.5884052233486858e+18, 7.678966060302864e+18, 6.045112493022642e+18, 5.190145547314376e+18]",541
2012-11-10,2012-11-10,S,11469,0,17,['Cheryl Dyson'],"[['Фред Уизли', 'Джордж Уизли']]",NC-17,"['Первый раз', 'PWP', 'Приключения']",19,"['Читатель', 'что в ПвП тебе моем?']",['47697'],Английский,['56676'],,,[7.888743809735066e+18],[2.2622014820230628e+18],351
2014-03-18,2014-03-18,S,7088,1,7,['55126'],"[['Сириус Блэк', 'Ремус Люпин'], ['Джеймс Поттер', 'Северус Снейп'], 'Лили Эванс (Лили Поттер)', 'Регулус Блэк', 'Питер Петтигрю']",PG-13,['Юмор'],10,,,,['54862'],,/challenge11,"[6.821256616371388e+18, 8.856832570818793e+18]",[7.678966060302864e+18],280
2016-07-12,2016-07-12,G,2542,0,1,['259675'],"['Гарри Поттер', 'Джинни Уизли', 'Альбус Дамблдор', 'Минерва МакГонагалл', 'Люциус Малфой', 'Северус Снейп', 'Лорд Волдеморт (Том Риддл)']",General,"['Комедия', 'Юмор']",8,"['AU', 'ООС']",,,,,,"[8.621034929157729e+18, 7.953677023483309e+18]",[],96
2017-04-16,2017-04-16,G,2743,7,61,['46296'],['Эйлин Принц'],General,['Драма'],13,,,,['265885'],,/challenge38,[6.173250538789015e+18],"[2.2622014820230628e+18, 2.593952817060485e+18]",147
2013-05-19,2013-05-24,S,56116,1,62,['55331'],"[['Гарри Поттер', 'Драко Малфой']]",NC-17,"['Детектив', 'Драма', 'Романтика']",123,['AU'],,,['58302'],,,"[3.441104473284312e+18, 8.142543796503204e+18]","[5.091602363353723e+18, 7.260920065589541e+18]",1739
2018-01-09,2018-01-09,G,2412,1,56,['274489'],"['Северус Снейп', 'Лили Эванс (Лили Поттер)']",General,[],5,['AU'],,,['72032'],,/challenge53,"[9.421267558620586e+17, 4.2496109088115907e+18]",[],173
2016-08-06,2016-08-06,G,6119,1,6,['160857'],"['Гарри Поттер', 'Гермиона Грейнджер']",General,['Приключения'],18,['AU'],,,['172078'],,/challenge31,"[6.313760515381319e+18, 5.40089922393052e+18, 3.419352554261195e+18]","[1.256868442053431e+18, 3.9579456945930767e+18]",233
2016-01-26,2016-02-17,G,31746,1,16,['253501'],"[['Гермиона Грейнджер', 'Сакура Харуно']]",PG-13,"['Юмор', 'Экшен', 'Комедия', 'Пародия']",161,"['AU', 'ООС']",,,['186034'],,,"[9.061343625698469e+18, 5.40089922393052e+18, 8.368466917218229e+18, 5.027406122380948e+18]","[4.4861742693270036e+18, 1.256868442053431e+18, 2.3936490944092334e+18, 8.741804433122553e+18, 3.5935108451369114e+18, 2.529615222968058e+18]",384
2010-01-31,2010-01-31,G,6021,0,4,['38481'],['Родольфус Лестрейндж'],не указан,"['Драма', 'Ангст']",4,['смерть персонажа'],,,,,,"[9.206714125933272e+18, 5.930173822045235e+18]","[5.091602363353723e+18, 9.093989600810537e+18, 2.2622014820230628e+18]",24
2015-05-27,2015-05-27,G,6907,8,93,['145779'],"['Барти Крауч-старший', 'Сириус Блэк', 'Джеймс Поттер', 'Амелия Боунс']",R,"['Драма', 'Общий']",6,['Смерть персонажа'],,,,,/challenge13,"[7.638953609937154e+18, 7.19194420505778e+18]","[7.678966060302864e+18, 2.2622014820230628e+18, 8.583542024877844e+18, 1.5884052233486858e+18]",346
2013-07-17,2013-07-17,H,4113,1,14,['101967'],"[['Неизвестный Персонаж', 'Кингсли Шеклболт'], ['Ремус Люпин', 'Нимфадора Тонкс']]",General,"['Даркфик', 'Пропущенная сцена', 'Сайдстори', 'Драма']",12,,,,,/serie297,,"[4.414957327612308e+17, 4.798848389593262e+18, 1.0740270760075474e+18]","[9.16433052224095e+18, 2.2622014820230628e+18, 2.593952817060485e+18, 7.285076916399111e+18]",72
2014-04-13,2014-04-13,G,6559,1,26,['63043'],"[['Джеймс Поттер', 'Лили Эванс (Лили Поттер)'], 'Северус Снейп', 'Сириус Блэк']",R,['Ангст'],22,['AU'],,,,,,[1.6421176612338248e+18],"[2.6589479962767648e+17, 7.678966060302864e+18, 6.085209664702086e+18]",141
2005-09-08,2005-09-08,S,18704,0,10,['38341'],"[['Гарри Поттер', 'Рон Уизли']]",R,"['Романтика', 'Ангст']",26,,,,[],,,"[1.1451313013849042e+18, 1.69699326604563e+18, 8.856832570818793e+18]",[],294
2018-06-26,2020-01-27,H,7596,1,15,['406259'],"[['Джинни Уизли', 'Северус Снейп'], 'Перси Уизли', 'Гермиона Грейнджер', 'Рон Уизли', 'Кингсли Шеклболт', 'Лорд Волдеморт (Том Риддл)', 'Дельфи (Дельфини)']",R,"['Романтика', 'Фэнтези']",226,['AU'],,,['219670'],,/challenge92,"[8.604318664975118e+17, 9.043416406247173e+18, 4.5939526390683233e+18]","[3.3067511711134536e+18, 6.664513627451564e+18, 9.049884987810632e+17, 1.5884052233486858e+18]",180
2018-04-28,2018-04-28,S,3279,4,61,['63004'],"[['Гарри Поттер', 'Оливер Вуд']]",PG-13,"['Hurt/comfort', 'Драма', 'Романтика']",6,['UST'],,,['249572'],/serie804,/challenge61,"[4.846362148689892e+18, 5.40089922393052e+18, 4.79294927189414e+18, 1.9973239416256215e+18]",[5.091602363353723e+18],229
2017-11-13,2017-11-13,H,6173,0,4,['40566'],"[['Драко Малфой', 'Гермиона Грейнджер', 'Блейз Забини']]",R,"['Приключения', 'Романтика']",80,"['AU', 'Нецензурная лексика']",,,,,,"[7.473870445725378e+18, 4.623742160287449e+18]",[],251
2011-04-08,2011-04-08,G,5601,0,5,['1894'],"['Северус Снейп', 'Драко Малфой']",General,"['Сайдстори', 'Приключения']",2,['АУ после ГП7'],,,[],/serie238,,"[8.277620557064882e+18, 5.815884312055821e+18, 4.280973864805691e+18]",[5.708357661850474e+18],86
2017-11-13,2017-11-13,S,4659,1,1,['40566'],"[['Сириус Блэк', 'Северус Снейп'], ['Лили Эванс (Лили Поттер)', 'Джеймс Поттер']]",NC-17,"['Драма', 'Романтика']",66,['AU'],,,,,,"[4.79294927189414e+18, 3.756190092183207e+18]",[],226
2016-10-24,2016-10-24,G,7801,5,109,"['241984', '274489']","[['Люциус Малфой', 'Нарцисса Малфой'], ['Родольфус Лестрейндж', 'Беллатриса Лестрейндж'], 'Северус Снейп', 'Лорд Волдеморт (Том Риддл)', 'Антонин Долохов', 'Фенрир Грейбек', 'Эйвери', 'Нагини']",PG-13,['Юмор'],9,['AU'],,,,/serie1087,,"[5.415085058243874e+18, 3.6585267259631544e+18]",[2.531777133842788e+18],453
2016-06-19,2016-07-22,S,110330,2,54,['74968'],"[['Северус Снейп', 'Гарри Поттер'], ['Драко Малфой', 'Гермиона Грейнджер'], 'Рон Уизли', 'Джордж Уизли', 'Новый Мужской Персонаж', 'Новый Женский Персонаж']",NC-17,"['Ангст', 'Драма', 'Романтика', 'Юмор']",302,"['AU', 'Нецензурная лексика', 'ООС']",,,,,,"[7.467913646277005e+18, 1.4576672227936315e+18, 8.643930910157974e+18]","[5.091602363353723e+18, 8.607079560928971e+18, 6.975747470636897e+18, 4.973737079736205e+18, 7.40523466161727e+17]",1918
2018-03-19,2018-03-19,G,1555,0,5,['52909'],"['Альбус Дамблдор', 'Минерва МакГонагалл', 'Четвёртый Доктор']",General,['Юмор'],7,,,,['47664'],,/challenge56,[1.9185154036344115e+18],[6.309085261428891e+17],54
2016-09-12,2017-01-23,H,37458,3,217,['46296'],"[['Драко Малфой', 'Джинни Уизли'], ['Беллатриса Лестрейндж', 'Родольфус Лестрейндж', 'Лорд Волдеморт (Том Риддл)'], ['Гарри Поттер', 'Джинни Уизли']]",R,"['Ангст', 'Приключения', 'Романтика']",1177,,,,['59634'],,,"[5.655214602155863e+18, 9.165951461837682e+18]","[5.708357661850474e+18, 3.2269359891538053e+18, 4.265965420776659e+18]",471
2019-05-18,2019-05-18,G,1161,1,23,['466315'],"[['Родольфус Лестрейндж', 'Беллатриса Лестрейндж'], 'Друэлла Блэк (Розье)', 'Беллатриса Лестрейндж', 'Вальбурга Блэк', 'Андромеда Тонкс', 'Родольфус Лестрейндж']",General,"['Драббл', 'Пропущенная сцена']",3,['Смерть персонажа'],,,['219670'],,/challenge85,"[1.1382254091819026e+18, 7.393011223078967e+18, 5.3770334293101325e+17]","[1.412495601364117e+18, 9.093989600810537e+18, 2.531777133842788e+18, 3.5935108451369114e+18]",95
2014-02-09,2014-02-26,S,13031,2,68,['57864'],"[['Гарри Поттер', 'Драко Малфой'], 'Новый Персонаж']",R,['Юмор'],27,"['AU', 'От первого лица (POV)']",,,['98009'],/serie388,,"[3.8468055674252063e+18, 2.6834405223388216e+18, 9.931352917782611e+17, 1.7737175852207194e+18]",[5.091602363353723e+18],465
2016-06-13,2016-06-13,G,3107,0,15,['86122'],"['Новый Женский Персонаж', 'Альбус Дамблдор']",PG-13,['Ангст'],10,['AU'],,,,,,[4.098747294391079e+18],"[3.281018045554982e+18, 5.265453167772786e+18]",140
2011-07-19,2011-07-19,G,9404,0,43,['45505'],['Северус Снейп'],не указан,['Драма'],5,['От первого лица (POV)'],,,"['44754', '40083']",,,"[4.626740582089699e+18, 6.885645052916909e+18, 2.9346890074206554e+17]","[3.5935108451369114e+18, 5.265453167772786e+18, 2.531777133842788e+18]",62
2018-01-29,2018-01-29,H,8391,2,15,['lilsherlockian1975'],"[['Северус Снейп', 'Гермиона Грейнджер']]",PG-13,"['Драма', 'Романтика']",28,"['AU', 'ООС']",['237013'],Английский,,,,"[8.77257552671935e+18, 8.465493247141389e+18, 7.73327489138887e+18]","[5.091602363353723e+18, 9.093989600810537e+18]",554
2008-02-06,2008-02-06,S,24914,0,28,['Alaana Fair'],"[['Гарри Поттер', 'Драко Малфой']]",R,"['Романтика', 'Флафф']",37,"['DH Spoilers', 'AU', 'ОСС.']",['1675'],Английский,['869'],,,"[2.1706437200046318e+18, 2.2320592715256243e+18, 1.0963570060991343e+18]",[],443
2017-03-20,2017-03-20,G,1983,2,9,['199364'],"[['Нарцисса Малфой', 'Люциус Малфой'], 'Беллатриса Лестрейндж', 'Андромеда Тонкс']",General,"['Приключения', 'Сказка', 'Юмор', 'Романтика']",13,,,,['47664'],/serie1378,/challenge44,"[6.698034874737649e+18, 5.478433428167904e+18, 6.943844421657512e+18, 2.559603217631601e+18, 3.795898011487954e+18]","[2.593952817060485e+18, 2.2622014820230628e+18]",39
2015-02-21,2015-02-21,H,5459,0,12,"['163064', '213782']","[['Минерва МакГонагалл', 'Северус Снейп']]",PG-13,"['Сонгфик', 'Комедия', 'Драма']",19,"['Гет', 'AU', 'ООС', 'От первого лица (POV)']",,,['223904'],,,"[3.215118328395524e+18, 2.5114687645839846e+17]",[7.285076916399111e+18],115
2018-01-10,2018-01-10,S,8608,1,13,['221087'],"[['Гарри Поттер', 'Северус Снейп']]",R,['Романтика'],27,,,,,,,"[1.0671637021609368e+18, 9.763318879735791e+17]",[2.3318309850395216e+16],769
2019-10-20,2020-01-12,G,39949,8,488,['206554'],"['Макс', 'Альбус Дамблдор', 'Гермиона Грейнджер', 'Драко Малфой', 'Рон Уизли', 'Северус Снейп', 'Сириус Блэк']",General,"['Попаданцы', 'Кроссовер']",349,"['ООС', 'AU']",,,['219670'],,,"[6.074374834247316e+17, 2.2022717024297677e+18, 9.134094359753977e+18, 4.414957327612308e+17, 7.30065211533925e+18]","[7.574395207039825e+18, 8.913004958747984e+18, 7.272268804828762e+18, 7.006102770261316e+18]",789
2012-10-17,2012-10-17,H,12193,0,12,['60904'],"[['Северус Снейп', 'Гермиона Грейнджер']]",R,"['Драббл', 'PWP', 'Юмор']",7,"['Снейп', 'понятное дело', 'уполз х)']",,,,,,"[4.1653825371067397e+18, 5.246219462880978e+17]",[9.093989600810537e+18],380
2014-01-10,2014-03-01,H,112300,9,1727,['140819'],"['Гермиона Грейнджер', 'Новый Персонаж']",PG-13,"['Приключения', 'Кроссовер', 'Романтика']",446,"['AU', 'ООС']",,,['135758'],/serie529,,"[4.5722254490900593e+18, 2.2497251002028623e+18]",[],1111
2010-02-17,2010-02-17,G,5232,0,2,['40315'],"['Маркус Флинт', 'Новый Мужской Персонаж']",не указан,"['Драббл', 'Комедия']",8,,,,,,,"[6.228347241060494e+18, 3.0989848872719503e+18, 2.2238778977714683e+18]",[9.16433052224095e+18],13
2013-10-13,2013-10-13,G,3557,0,10,['71328'],"['Гарри Поттер', 'Луна Лавгуд', 'Северус Снейп']",General,['Юмор'],9,"['Я не видела морщерогих кизляков', 'поэтому заменила их мозгошмыгами)']",,,['48033'],,,"[3.5400743486455885e+18, 1.5847794524184714e+18, 4.5003950177743263e+18, 8.294178139971938e+18]","[7.228517559750846e+18, 7.285076916399111e+18, 5.494196018564324e+18]",86
2016-05-02,2016-05-02,G,3984,0,2,['225122'],"[['Драко Малфой', 'Гермиона Грейнджер']]",General,['Общий'],27,['AU'],,,,,,"[4.414957327612308e+17, 6.849876443340008e+18, 6.561268298954642e+18, 8.319594729130785e+18]","[5.091602363353723e+18, 9.093989600810537e+18]",210
2019-11-01,2019-11-01,S,888,3,26,['Eudore'],"[['Ремус Люпин', 'Северус Снейп']]",PG-13,['Юмор'],19,"['От первого лица (POV)', 'ООС', 'Пре-слэш', 'Нецензурная лексика']",['258455'],Немецкий,['219670'],/serie2136,/challenge95,"[7.489412493256828e+18, 4.204253220262485e+18]",[],106
2017-12-16,2017-12-16,G,2396,0,24,['232747'],"['Гарри Поттер', 'Невилл Лонгботтом', 'Филиус Флитвик']",PG-13,['Общий'],12,"['Слэш', 'AU', 'ООС']",,,['262194'],,/challenge51,"[5.141528351836213e+18, 5.754863284198662e+18, 7.688133444507889e+18, 2.1818745878485036e+18]","[7.260920065589541e+18, 7.589851742797221e+18, 5.265453167772786e+18]",168
2019-02-02,2019-12-30,H,5152,1,7,['177854'],"[['Драко Малфой', 'Гермиона Грейнджер']]",General,"['Ангст', 'Детектив']",120,"['AU', 'ООС', 'Смерть персонажа', 'Нецензурная лексика']",,,['399909'],,,"[2.609751951064318e+17, 4.137130781420562e+17, 4.79294927189414e+18, 6.20407262872843e+18, 1.5685597140269932e+18]","[9.049884987810632e+17, 9.141967877688732e+18, 5.091602363353723e+18]",249
2015-11-14,2015-11-14,G,8046,0,5,['198924'],"['Живоглот', 'Сириус Блэк', 'Рон Уизли', 'Гермиона Грейнджер', 'Гарри Поттер']",General,['Общий'],53,"['AU', 'ООС']",,,,,,"[8.177175466596925e+18, 4.372944955536757e+18, 2.3504411515182945e+18]",[3.8656993537381274e+17],143
2019-05-29,2019-05-29,H,657,0,0,['491441'],"[['Блейз Забини', 'Чо Чанг'], ['Луна Лавгуд', 'Невилл Лонгботтом'], 'Гарри Поттер', 'Чо Чанг', 'Блейз Забини', 'Луна Лавгуд', 'Невилл Лонгботтом', 'Джинни Уизли', 'Ханна Аббот']",R,"['Детектив', 'Драма', 'Романтика', 'Экшен']",39,"['AU', 'UST', 'Гет', 'Насилие', 'ООС', 'Смерть персонажа']",,,,/serie2019,,"[8.457500018595676e+18, 9.002284421273437e+18]","[8.495340661862281e+18, 2.593952817060485e+18, 9.141967877688732e+18, 2.3210451603525796e+18, 7.285076916399111e+18, 5.960497010224147e+18]",29
2016-01-07,2016-01-07,S,10064,1,22,['185718'],"[['Северус Снейп', 'Гарри Поттер']]",NC-17,"['Юмор', 'Пародия']",17,"['ООС', 'AU']",,,,,,[2.1970187070228785e+18],"[5.091602363353723e+18, 7.40523466161727e+17]",973
2016-09-02,2016-09-02,H,4335,0,4,['53085'],"[['Артур Пендрагон', 'Гвиневра (Гвен)'], ['Мерлин (Эмрис)', 'Моргана']]",General,['Кроссовер'],65,['AU'],,,['54682'],,,[3.2549804960789427e+18],[1.16832963331171e+18],64
2010-02-15,2010-02-15,G,5665,0,6,['Alisonven'],['Северус Снейп'],не указан,['Общий'],1,,['1918'],Английский,,,,"[3.5911262900389084e+18, 5.176218972875721e+18, 4.1919851399281674e+18, 1.5568551796260718e+18]",[5.708357661850474e+18],50
2007-02-06,2009-04-20,H,488488,9,106,['3562'],"[['Драко Малфой', 'Гермиона Грейнджер'], ['Гарри Поттер', 'Джинни Уизли']]",PG-13,"['Романтика', 'Юмор']",345,,,,[],,,"[5.451366856527235e+18, 3.841905578697532e+18]",[],3944
2019-05-20,2019-05-20,S,1628,1,14,['265885'],"[['Ремус Люпин', 'Северус Снейп'], 'Сириус Блэк', 'Джеймс Поттер', 'Питер Петтигрю']",NC-17,['Драма'],18,"['БДСМ', 'Насилие']",,,,,,"[3.5400743486455885e+18, 5.754461466008791e+18]",[7.678966060302864e+18],107
2015-01-04,2015-03-05,H,13104,3,57,['60940'],"[['Гарри Поттер', 'Драко Малфой'], 'Рон Уизли', 'Панси Паркинсон', 'Живоглот']",R,['Комедия'],115,"['AU', 'ООС']",,,,,,"[2.8333636533788355e+18, 5.472544212146494e+18]","[5.708357661850474e+18, 2.2622014820230628e+18]",214
2014-08-18,2014-08-18,S,14588,1,18,['48511'],"[['Гарри Поттер', 'Драко Малфой']]",PG-13,"['Юмор', 'Романтика']",17,,,,,,,[7.14603709839913e+17],[8.94765061936755e+18],1185
2010-09-09,2010-09-09,G,12992,0,7,['41602'],['Ремус Люпин'],не указан,['Ангст'],53,['От первого лица (POV)'],,,['42156'],,,"[1.9703048541781105e+18, 5.943533007207255e+17]",[],33
2005-04-24,2005-04-24,H,122470,5,46,['37980'],"[['Драко Малфой', 'Новый Персонаж'], 'Гарри Поттер', 'Лорд Волдеморт (Том Риддл)']",NC-17,['Экшен'],240,,,,,/serie11,,"[5.085466213739476e+18, 5.956704043183145e+18, 6.816557412645839e+18, 2.36772974848057e+18, 4.138997071253247e+18, 1.6588335948417974e+18, 5.865080942307527e+18, 1.6378892435211046e+18]",[],712
2019-03-21,2019-03-21,G,1260,1,0,['455392'],"['Роза Тайлер', 'Десятый Доктор', 'Северус Снейп', 'Альбус Дамблдор', 'Филиус Флитвик']",General,"['Общий', 'Юмор', 'Кроссовер']",51,,,,,,,"[6.102126863955071e+18, 5.429331521293285e+18]",[],52
2018-03-19,2018-03-19,G,2471,1,7,['265885'],"['Невилл Лонгботтом', 'Северус Снейп', 'Рон Уизли', 'Гермиона Грейнджер', 'Джинни Уизли', 'Луна Лавгуд', 'Лорд Волдеморт (Том Риддл)', 'Беллатриса Лестрейндж']",PG-13,['Общий'],31,,,,['269056'],/serie1366,/challenge56,"[2.0340432059674268e+18, 3.4023812377036974e+18, 7.45611066674444e+17]",[5.708357661850474e+18],131
2019-09-23,2020-01-23,G,3481,1,37,['452667'],"[['Гарри Поттер', 'Гермиона Грейнджер'], ['Миссис Грейнджер', 'Мистер Грейнджер'], 'Новый Женский Персонаж']",General,"['Драма', 'Hurt/comfort']",39,,,,"['363537', '86122']",,/challenge93,"[3.1965374534255304e+18, 4.414957327612308e+17, 2.40592428082713e+16, 7.389367312518847e+18]",[5.091602363353723e+18],299
2010-11-19,2010-11-19,S,10764,1,48,['38602'],"[['Гарри Поттер', 'Драко Малфой']]",PG-13,['Романтика'],5,['Послевоенное ООС'],,,,,,"[7.671998244262599e+18, 1.8902315784046774e+17, 4.846362148689892e+18, 6.651879311557856e+18, 7.59049201442639e+18]","[5.091602363353723e+18, 8.495340661862281e+18, 8.583542024877844e+18]",151
2010-08-04,2012-07-27,S,35300,0,22,['42011'],"['Северус Снейп', 'Гарри Поттер', 'Альбус Дамблдор', 'Лорд Волдеморт (Том Риддл)']",R,"['Юмор', 'Драма', 'Романтика']",73,,,,,,,"[7.813356827233169e+18, 5.963800966874713e+18, 4.414957327612308e+17, 8.500062862673114e+18]",[],135
